BSSID,Protocol
08:cc:68:b4:8a:4c,802.11ac
08:cc:68:b5:7f:bc,802.11ac
08:cc:68:b5:c2:f3,802.11n
1c:e6:c7:3e:d8:53,802.11n
1c:e6:c7:3e:d8:5c,802.11n
1c:e6:c7:e0:26:73,802.11n
1c:e6:c7:e0:26:74,802.11ac
1c:e6:c7:f0:1a:13,802.11n
1c:e6:c7:f0:1a:1c,802.11n
1c:e6:c7:f0:1a:84,802.11ac
1c:e6:c7:f0:1a:8c,802.11n
1c:e6:c7:f0:1f:c3,802.11n
1c:e6:c7:f0:1f:c4,802.11ac
1c:e6:c7:f0:1f:cc,802.11n
58:97:1e:56:1e:84,802.11ac
a0:0f:37:4c:09:ec,802.11ac
a8:9d:21:5c:c2:fc,802.11ac
a8:9d:21:5f:4c:13,802.11n
d0:72:dc:53:5d:4c,802.11ac
d0:c7:89:67:82:b3,802.11n
d0:c7:89:67:82:b4,802.11ac
d4:c9:3c:b6:5e:e3,802.11n
f0:9e:63:14:ab:c2,802.11n
f0:9e:63:14:ab:cd,802.11n
00:04:56:ad:68:11,802.11n
00:04:56:ad:d7:61,802.11n
00:04:56:ae:43:51,802.11ac
4c:5e:0c:b2:e8:05,802.11n
00:04:56:ad:68:10,802.11n
00:04:56:ae:2b:90,802.11n
00:04:56:ae:43:50,802.11ac
08:cc:68:b4:a6:7f,802.11ac
08:cc:68:b4:ae:df,802.11ac
08:cc:68:b4:b2:6f,802.11ac
08:cc:68:b4:b6:a0,802.11n
08:cc:68:b4:bf:2f,802.11ac
08:cc:68:b4:c0:7f,802.11ac
08:cc:68:b4:c4:8f,802.11ac
08:cc:68:b5:92:af,802.11ac
1c:e6:c7:0d:57:4f,802.11n
1c:e6:c7:3e:61:ce,802.11n
1c:e6:c7:5b:2b:c0,802.11n
1c:e6:c7:5b:2b:c7,802.11ac
1c:e6:c7:5b:30:1f,802.11n
1c:e6:c7:f0:25:40,802.11n
1c:e6:c7:f0:25:47,802.11ac
54:78:1a:bf:6f:57,802.11ac
54:78:1a:bf:6f:5f,802.11n
5c:e1:76:0a:4f:cf,802.11ac
84:78:ac:c0:5c:3f,802.11n
a0:0f:37:4c:93:2f,802.11ac
a0:55:4f:cf:eb:00,802.11n
d0:72:dc:53:5d:40,802.11n
f0:9e:63:14:66:8f,802.11n
f0:9e:63:14:8f:8f,802.11n
f0:9e:63:14:a1:00,802.11n
f0:9e:63:14:a9:20,802.11n
f0:9e:63:1c:b4:60,802.11n
f0:9e:63:1c:b4:6f,802.11n
f0:9e:63:1d:d2:ef,802.11n
08:cc:68:b4:af:4d,802.11ac
08:cc:68:b4:b2:6b,802.11ac
08:cc:68:b4:bd:d4,802.11n
08:cc:68:b4:bf:2b,802.11ac
08:cc:68:b4:c4:8b,802.11ac
1c:e6:c7:3e:61:cd,802.11n
1c:e6:c7:5b:15:3b,802.11n
1c:e6:c7:5b:2b:c3,802.11ac
1c:e6:c7:5b:30:1b,802.11n
1c:e6:c7:5b:32:14,802.11n
54:78:1a:bf:6f:53,802.11ac
54:78:1a:bf:6f:5b,802.11n
84:78:ac:c0:5c:33,802.11ac
84:78:ac:c0:5c:3b,802.11n
a0:0f:37:4c:54:4b,802.11ac
a0:0f:37:4c:93:2b,802.11ac
d0:72:dc:53:5d:44,802.11n
f0:9e:63:14:66:8c,802.11n
f0:9e:63:14:78:e3,802.11n
f0:9e:63:14:78:ec,802.11n
f0:9e:63:14:8f:8c,802.11n
f0:9e:63:14:a1:03,802.11n
f0:9e:63:14:a9:23,802.11n
f0:9e:63:1c:b4:63,802.11n
f0:9e:63:1c:b4:6c,802.11n
d0:db:b7:9c:0d:e4,802.11ax
dc:8d:8a:41:c0:24,802.11ax
1a:59:c0:4d:c3:09,802.11ac
68:dd:b7:13:b7:65,802.11ax
54:af:97:5d:b9:24,802.11ax
08:cc:68:b4:a1:91,802.11n
08:cc:68:b4:a1:9e,802.11ac
08:cc:68:b4:a6:71,802.11n
08:cc:68:b4:a6:7e,802.11ac
08:cc:68:b4:b2:6e,802.11ac
08:cc:68:b4:bf:2e,802.11ac
08:cc:68:b4:c4:8e,802.11ac
1c:e6:c7:3e:60:c7,802.11ac
1c:e6:c7:3e:61:c7,802.11ac
1c:e6:c7:3e:61:cf,802.11n
1c:e6:c7:5b:15:3e,802.11n
1c:e6:c7:5b:2b:c6,802.11ac
1c:e6:c7:5b:2b:ce,802.11n
1c:e6:c7:5b:30:16,802.11ac
1c:e6:c7:5b:32:11,802.11n
1c:e6:c7:f0:25:41,802.11n
1c:e6:c7:f0:25:46,802.11ac
1c:e6:c7:f0:25:4e,802.11n
54:78:1a:bf:6f:56,802.11ac
54:78:1a:bf:6f:5e,802.11n
84:78:ac:c0:5c:36,802.11ac
84:78:ac:c0:5c:3e,802.11n
a0:0f:37:4c:54:4e,802.11ac
a0:0f:37:4c:93:2e,802.11ac
f0:9e:63:14:66:8e,802.11n
f0:9e:63:14:8f:8e,802.11n
